inventory_number,album,table,subject,place,is_existing,author,directions,link,id,notes,latitude,longitude
219573,Album 10bis,8,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza visti dal centro del fiume verso le colline,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231906#,231906,,44.28404,11.88775
219574,Album 10bis,9,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza visti dal centro del fiume verso valle,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231907#,231907,,44.28404,11.88775
219579,Album 10bis,14,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza visti dal rivalino del fiume,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231948#,231948,,44.28404,11.88775
219575,Album 10bis,10,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza visti dalla porta della città,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231908#,231908,,44.28404,11.88775
219577,Album 10bis,12,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza visti dalla prima torre del ponte stesso,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231939#,231939,,44.28404,11.88775
219578,Album 10bis,13,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza visti dalla strada del borgo Durbecco,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231940#,231940,,44.28404,11.88775
219570,Album 10bis,5,"crollo del Ponte delle Torri",Faenza,no,Romolo Liverani,Ruderi del ponte di Faenza dopo la caduta visti dalle mura di S. Ippolito,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231903#,231903,,44.28404,11.88775
219588,Album 10bis,23,Campata del portico di San Maglorio,Faenza,si,Romolo Liverani,sala a sx della biglietteria MIC,https://bbcc.regione.emilia-romagna.it/samira/link/gyztcnbu,231973,tra veduta interna nel monastero di S. Maglorio. Porticato terreno che sorregge i cameri[ni?] della biancheria con vista orto e frutti come nel 1856.,44.2888849 ,11.8811190 
219458,Album 7,22,Canale di scolo delle acque detto Chiavicone dei Servi,Faenza,no,Romolo Liverani,"Scolava le acque iniziando dalla piazza, lungo via Torricelli, per via Manfredi e per l'ultimo tratto di via Porta Ponte",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205206#,205206,,,
219197,Album 6,46,Veduta della Croce dei Cappuccini di Faenza,Faenza,si,Tancredi Liverani,Secondo chiostro dell’Osservanza,,,,,
219587,Album 10bis,22,"San Maglorio, convento",Faenza,si,Romolo Liverani,si intravvede il cortile di MIC,https://bbcc.regione.emilia-romagna.it/samira/link/gyztcnbr,231972,"Altra veduta interna del convento di San Maglorio con il lavatoio, Faenza",44.2888849 ,11.8811190 
219502,Album 7,67,Mura della Ganga (visibili abside e campanile San Domenico),Faenza,si,Romolo Liverani,"Si riconoscono in questa tavola la parte absidale e il campanile di S. Domenico: a sinistra si notano la parte terminale della Ganga e la torretta con archi (ancora esistente), che era adiacente all'antico Filatoio comunale e forse adibita all'uso del medesimo. La Ganga era la strada che proseguiva da via del Filatoio (attuale corso Baccarini) e terminava sulle mura.",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205336#,205336,,,
219444,Album 7,8,Villa Zavoli detta Serra,Castel Bolognese,si,Romolo Liverani,"Stanzone degli Aranci e giardino di villa Zavoli detta Serra, fuori Faenza",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205147#,205147,,,
219447,Album 7,11,Villa Zavoli detta Serra,Castel Bolognese,si,Romolo Liverani,Stele funeraria presso San Bartolo alla Villa Serra,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205177#,205177,"Stele funeraria romana incastonata ad una parete presso San Bartolo alla Villa Serra, fuori Faenza",,
PA1886,Album 14,24,Sotto le mura del macello ,Faenza,,Romolo Liverani,tratto di via Lapi precedente il torrione,,,,,
219451,Album 7,15,Mulino di Batticuccolo,Faenza,si,Romolo Liverani,"vedi 6, 80",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205185#,205185,,,
219614,Album 10bis,51,"Veduta della villa Bucci, colline di Faenza e villa Rotonda",Faenza,si,Romolo Liverani,Veduta dalla Villa Fregua (poi Bucci),https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232053#,232053,,44.28013,11.8571
219234,Album 6,99,"Cortile e parco del Cappuccini",Faenza,no,Tancredi Liverani,Veduta del Campanile e Fianco della Chiesa di Frati Cappucini,,,,,
219233,Album 6,98,Cortile e parco del Cappuccini,Faenza,no,Tancredi Liverani,Veduta del Cortile e Pozzo di Frati Cappucini,,,,,
219516,Album 7,51,San Maglorio,Faenza,si,Romolo Liverani,Veduta del cortile ed atrio della chiesa delle monache di S. Maglorio,https://bbcc.regione.emilia-romagna.it/samira/link/gyztcnrs,205346,,44.2888849 ,11.8811190 
PA1875,Album 14,12,Porta Montanara,Faenza,,Romolo Liverani,Veduta del Gioco del Pallone fuori di Porta Montanara e del introduzione al Paseggio in Faenza,,,,,
219481,Album 7,45,Chiostro dei frati Zoccolanti,Faenza,,Romolo Liverani,Veduta del primo chiostro dei frati Zoccolanti fuori Faenza,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205278#,205278,,,
219506,Album 7,71,Casa Mazzolani,Faenza,si,Romolo Liverani,Veduta dell'atrio nel palazzo di Casa Mazzolani,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205343#,205343,,,
219449,Album 7,13,Fabbrica da carta,Faenza,,Romolo Liverani,Veduta della Fabbrica di carta fuori Faenza 3 Miglia,https://bbcc.regione.emilia-romagna.it/samira/link/gyytsnzu,205179,,,
219436,Album 7,1,Villa Rotonda,Faenza,si,Romolo Liverani,"Veduta della Rotonda Villeggiatura di casa Laderchi. Fuori di Porta Montanara dalle Bocche dei Canali, Faenza ",https://bbcc.regione.emilia-romagna.it/samira/link/gyytsnzs,205121,,44.27624,11.84744
219235,Album 6,100,Villa Rotonda,Faenza,si,Tancredi Liverani,"Veduta della Rotonda, Attuale villa Laderchi",,,,44.27624,11.84744
219448,Album 7,12,Capella di S. Prospero (Piccolo oratorio all’inizio di via Castel Raniero),Faenza,no,Romolo Liverani,"Veduta di S.Prospero alle Bocche dei Canali fuori di Faenza",https://bbcc.regione.emilia-romagna.it/samira/link/gyytsnzt,205178,"""Sarà utile sottolineare che il tempietto, che nella prima metà del secolo XIX risulta di proprietà Bandini Rosa, poi Caldesi, pare demolito fra 1880 e 1888, in occasione dell'approntamento della linea ferroviaria Faenza - Firenze, ma in seguito ricostruito poco distante, probabilmente dai subentrati proprietari Rossi che ristrutturarono anche la villa attign;la seconda gueffa mondiale ha poi segnato la fine dell'oratorio che, rispetto al precedente) eîa più a Nord, verso lavia Ospitalacci.""",,
219459,Album 7,23,Porta Ponte e casa del tintore Parsona,Faenza,no,Romolo Liverani,"Veduta esterna di Porta Ponte e della casa del tintore Parsona, demolita nel 1907",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205207#,205207,,,
219495,Album 7,60,Santa Maria foris portam,Faenza,si,Romolo Liverani,Veduta esterna di S. Maria ad Nives anticamente S. Maria Fuori della Porta,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205308#,205308,,,
219606,Album 10bis,41,Cortile e retro dell'osteria della Pagnocca,Faenza,,Romolo Liverani,Veduta notturna del cortile e retro dell'osteria della Pagnocca,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232038#,232038,,44.28464,11.88275
219486,Album 7,50,Osservanza e Saleggi fuori Faenza,Faenza,,Romolo Liverani,Veduta posteriore dell'Osservanza e dei Saleggi fuori Faenza,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205292#,205292,,44.28025,11.87193
219500,Album 7,65,Santa Maria ad Nives,Faenza,si,Romolo Liverani,Veduta posteriore e fianco di Santa Maria ad Nives,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205147#,205147,,,
1234,Album 8,2,Rocca di Brisighella,Brisighella,si,Romolo Liverani,Veduta retrostante della Rocca di Brisighella,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=230323#,230323,,44.22467,11.77073
219607,Album 10bis,43,Casino di casa Gessi a Sarna,Faenza,,Romolo Liverani,verso del disegno,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232040#,232040,,44.24956,11.84391
219509,Album 7,74,Esterno di Porta Imolese,Faenza,si,Romolo Liverani,verso l’attuale parco della Rocca,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205356#,205356,,44.28942,11.87452
219454,Album 7,18,"Lungo le mura del Macello",Faenza,no,Romolo Liverani,"via Mura Torelli, non riconoscibile",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205189#,205189,,,
219598,Album 10bis,33,Strada dietro al teatro con vista dei portici,Faenza,no,Romolo Liverani,"Via Severoli con i portici, portici demoliti",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232002#,232002,,44.28522,11.8816
219613,Album 10bis,50,Veduta dal casino Bucci,Faenza,si,Romolo Liverani,"Villa Fregua poi Bucci",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232051#,232051,,44.28013,11.8571
219236,Album 6,101,Villa Gessi,Faenza,no,Tancredi Liverani,Villa Gessi in Sarna,,,,44.24956,11.84391
219206,Album 6,58,Casino (Villa la Rotonda),Faenza,si,Tancredi Liverani,Villa La Rotonda,,,,44.27624,11.84744
219213,Album 6,69,Veduta del Casino la Rotonda dalla parte posteriore fuori di Faenza,Faenza,si,Tancredi Liverani,Villa La Rotonda,,,,44.27624,11.84744
PA1874,Album 14,11,Piazza Maggiore di Faenza,Faenza,si,Romolo Liverani,vista dal Palazzo Laderchi,,,,44.286219,11.884058
219511,Album 7,76,La piazza Maggiore,Faenza,si,Romolo Liverani,vista dalla loggia di Palazzo Zauli Naldi,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205367#,205367,,,
1236,Album 8,4,Vista di Brisighella,Brisighella,si,Romolo Liverani,Vista di Brisighella,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=230337#,230337,,44.22467,11.77073
219567,Album 10bis,2,Cortile di casa Zauli in piazza,Faenza,no,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231833#,231833,,,
219568,Album 10bis,3,Ponte delle torri di Faenza come si trovava nel 1631,Faenza,no,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231849#,231849,,44.28404,11.88775
219580,Album 10bis,15,Portico Osservanza,Faenza,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231949#,231949,,44.28025,11.87193
219590,Album 10bis,25,Cortile del pozzo del monastero di San Maglorio,Faenza,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/samira/link/gyztcnby,231978,,44.2888849 ,11.8811190 
219596,Album 10bis,31,Osservanza,Faenza,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231997#,231997,,44.28025,11.87193
219597,Album 10bis,32,"Osservanza",Faenza,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231998#,231998,,44.28025,11.87193
219600,Album 10bis,35,Ponte Rosso sul fiume Lamone,Faenza,,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232004#,232004,,44.27817,11.87837
219602,Album 10bis,37,Cimitero della chiesa arcipretale di Sarna,Faenza,,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/search.do?type=&group=GROUP0&customquery=*%3A*+-TYPE%3An+-TYPE%3Aeca+-TYPE%3Abib+-TYPE%3Aaut&value%28ANY%29=Cimitero+della+chiesa+arcipretale+di+Sarna#,232023,,44.24105,11.83145
219607,Album 10bis,42,Sagrestia della chiesa dell'Osservanza,Faenza,,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232040#,232040,,44.28025,11.87193
219608,Album 10bis,44,"Magazzino di casa Tempieri",Faenza,,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231849#,,,,
219566,Album 10bis,1bis,Rocca di Faenza,Faenza,,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231832#,231832,,44.28874,11.87428
219586,Album 10bis,21,"San Maglorio, convento",Faenza,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/samira/link/gyztcnbx,231970,"veduta interna del convento delle monache di S. Maglorio e della chiesina che nell'interno, sotto terra, vi si trova una piccola stanza o buca dove si dice si nascondesse e stesse il Beato Nevolone faentino protettore dei calzolai a fare orazione ed ivi trovato morto, 1856.",44.2888849 ,11.8811190 
218833,Album 2,39,"Atrio di torre, bozzetto scenico (Voltone della Molinella)",Faenza,,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205498#,205498,,44.28556,11.88244
218867,Album 2,73,Brisighella rocca,Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205728#,205728,,44.22467,11.77073
218868,Album 2,74,Brisighella rocca,Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205730#,205730,,44.22467,11.77073
218869,Album 2,75,Brisighella rocca,Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205731#,205731,,44.22467,11.77073
218870,Album 2,76,Brisighella rocca,Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205732#,205732,,44.22467,11.77073
218871,Album 2,77,"Brisighella, il voltone da via Fossa alla piazzetta del Suffragio",Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205733#,205733,,,
218872,Album 2,78,Veduta di Brisighella venendo dal campo-santo,Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205738#,205738,,,
897,Album 2,85,"Brisighella, Pieve Thò, lunetta (attuale paliotto altare)",Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=206947#,206947,,44.21446,11.75294
897,Album 2,87,"Brisighella, Pieve Thò",Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=206947#,206947,,44.21446,11.75294
898,Album 2,86,"Brisighella, veduta con i tre colli",Brisighella,si,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=206948#,206948,,44.22467,11.77073
218893,Album 2,102,Veduta del monte della Querzola con vista del castello di Rontana e di monte Mauro sopra Castel Bolognese,,,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205794&force=1#,205794,,44.22194,11.7433
219200,Album 6,49,"""Piazza"" Forse Castel Bolognese",Castel Bolognese,,Tancredi Liverani,,,,,44.31896,11.79926
219202,Album 6,51,Veduta Casino Molina. Faenza,Faenza,,Tancredi Liverani,,,,,,
219210,Album 6,66,Veduta di una parte del ponte di Faenza,Faenza,no,Tancredi Liverani,,,,,,
219217,Album 6,79,Veduta di Strada Romoaldi sotto le mura nel Borgo Durbecco Faenza,Faenza,,Tancredi Liverani,,,,,,
219222,Album 6,85,Veduta del Avanzo del Ponte di Faenza,Faenza,no,Tancredi Liverani,,,,,,
219223,Album 6,86,Altra veduta del Ponte,Faenza,no,Tancredi Liverani,,,,,,
219225,Album 6,88,Veduta del Sostegno dal Canale Naviglio di Faenza,Faenza,,Tancredi Liverani,,,,,,
219452,Album 7,16,Porta Ravegnana,Faenza,no,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205186#,205186,,,
219453,Album 7,17,Porta Montanara,Faenza,no,Romolo Liverani,,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205187#,205187,,,
