inventory_number,album,table,subject,place,is_existing,author,directions,link,id,notes,latitude,longitude
PA1878,Album 14,14,Veduta di un cortile Remoto nel convento dei Domenicani in Faenza,Faenza,,Romolo Liverani,,,,,,
PA1879,Album 14,15,Chiesa di S. Agostino ,Faenza,,Romolo Liverani,,,,,,
PA1880,Album 14,16,Cortile remoto nel Convento dei frati Domenicani ,Faenza,,Romolo Liverani,,,,,,
PA1881,Album 14,17,Scala che conduce alla Sale del Tribunale S...nel Monastero dei Frati Domenicani,Faenza,,Romolo Liverani,,,,,,
PA1882,Album 14,19,Pezzo del Ospedale di Faenza visto dal mercato delle Bestie,Faenza,,Romolo Liverani,,,,,,
PA1883,Album 14,20,Esterno del Ospedale di Faenza visto dal mercato delle Bestie,Faenza,,Romolo Liverani,,,,,,
PA1885,Album 14,23,la Croce dei R. P. Cappucini venendo dalle ,Faenza,,Romolo Liverani,,,,,,
PA1887,Album 14,25,Veduta posteriore di San Francesco,Faenza,,Romolo Liverani,,,,,,
PA1888,Album 14,26,Chiesa detta del Cantone perche fatta dalla Nobile famiglia Cantoni,Faenza,,Romolo Liverani,,,,,,
PA1889,Album 14,,Villa La Rotonda con giardino e tempietto,,,Romolo Liverani,,,,,44.27624,11.84744
PA1890,Album 14,,Torraccio della Ganga (inizio via Manzoni da viale Baccarini),,,Romolo Liverani,,,,,,
PA1895,Album 14,,Via di Porta Montanara con San Bartolomeo,,,Romolo Liverani,,,,,,
PA1896,Album 14,,Chiesa di San Bartolomeo (con l’allora collegamento a Palazzo Zanelli),,,Romolo Liverani,,,,,,
PA1899,Album 14,,Chiesa di Santa Maria Nuova interno,,,Romolo Liverani,,,,,,
PA1902,Album 14,,"Chiesa di San Giovanni, esterno (non più esistente)",,,Romolo Liverani,,,,,,
PA1903,Album 14,,"Chiesa di San Francesco, facciata",,,Romolo Liverani,,,,,,
PA1905,Album 14,,"Campanile di Santa Maria ad Nives, interno",,,Romolo Liverani,,,,,,
